image_id,text,len_words,text_lower,avg_img,width_img,height_img,tirets,ponctuation,top_100
a01-000u-00-00,A,1,a,135.18954248366012,27,51,False,True,True
a01-000u-00-02,to,2,to,181.8942857142857,70,50,False,True,True
a01-000u-00-04,Mr.,3,mr.,201.42466822794688,126,61,False,True,True
a01-000u-00-06,from,4,from,207.3293192035967,173,72,False,True,True
a01-000u-01-01,any,3,any,209.60363385860677,147,79,False,True,True
a01-000u-01-02,more,4,more,185.9478021978022,208,42,False,True,True
a01-000u-02-00,is,2,is,207.00373626373627,65,70,False,True,True
a01-000u-02-01,to,2,to,182.9292695473251,72,54,False,True,True
a01-000u-02-02,be,2,be,191.98412698412702,113,63,False,True,True
a01-000u-02-03,made,4,made,196.6640878848832,281,46,False,True,True
a01-000u-02-04,at,2,at,184.70233050847457,80,59,False,True,True
a01-000u-02-05,a,1,a,171.02633928571427,64,35,False,True,True
a01-000u-02-07,of,2,of,191.6054351054351,91,74,False,True,True
a01-000u-03-03,Mr.,3,mr.,218.84692095588238,320,68,False,True,True
a01-000u-03-06,has,3,has,206.379287771668,134,57,False,True,True
a01-000u-04-02,a,1,a,154.50059453032102,58,29,False,True,True
a01-000u-04-04,on,2,on,173.27844551282055,78,32,False,True,True
a01-000u-04-05,the,3,the,213.57161087660745,167,61,False,True,True
a01-000u-05-00,and,3,and,198.17706806282726,191,50,False,True,True
a01-000u-05-01,he,2,he,193.00539682539682,126,50,False,True,True
a01-000u-05-02,is,2,is,210.39879227053137,60,69,False,True,True
a01-000u-05-03,to,2,to,176.03829680020158,81,49,False,True,True
a01-000u-05-04,be,2,be,195.58964036500268,138,54,False,True,True
a01-000u-05-06,by,2,by,196.87542087542087,99,69,False,True,True
a01-000u-05-07,Mr.,3,mr.,221.44493103795432,301,66,False,True,True
a01-000u-06-03,for,3,for,214.8195931921959,165,73,False,True,True
a01-000x-00-00,A,1,a,198.68571428571425,35,67,False,True,True
a01-000x-00-02,to,2,to,213.00649350649348,44,70,False,True,True
a01-000x-00-04,Mr.,3,mr.,227.7226693494299,84,71,False,True,True
a01-000x-00-06,from,4,from,222.96508985746743,103,141,False,True,True
a01-000x-01-00,any,3,any,224.9609603747804,94,109,False,True,True
a01-000x-01-01,more,4,more,199.7377232142857,112,40,False,True,True
a01-000x-01-05,is,2,is,223.2425925925926,30,72,False,True,True
a01-000x-01-06,to,2,to,208.34826388888888,40,72,False,True,True
a01-000x-01-07,be,2,be,211.45307189542484,51,75,False,True,True
a01-000x-01-08,made,4,made,220.5184415584416,125,77,False,True,True
a01-000x-01-09,at,2,at,219.20987654320987,45,72,False,True,True
a01-000x-01-10,a,1,a,199.32077205882354,32,34,False,True,True
a01-000x-02-01,of,2,of,218.07790316709136,41,134,False,True,True
a01-000x-02-06,Mr.,3,mr.,225.407867494824,84,69,False,True,True
a01-000x-03-01,has,3,has,212.97084942084942,70,74,False,True,True
a01-000x-03-04,a,1,a,192.9206081081081,32,37,False,True,True
a01-000x-03-06,on,2,on,191.26363636363635,55,34,False,True,True
a01-000x-03-07,the,3,the,211.36120401337791,69,78,False,True,True
a01-000x-04-00,and,3,and,205.76452974002999,93,79,False,True,True
a01-000x-04-01,he,2,he,206.7087610408212,59,71,False,True,True
a01-000x-04-02,is,2,is,231.89755713159968,47,81,False,True,True
a01-000x-04-03,to,2,to,194.50879901204075,41,79,False,True,True
a01-000x-04-04,be,2,be,193.07464788732395,50,71,False,True,True
a01-000x-04-06,by,2,by,206.9929939792009,63,145,False,True,True
a01-000x-04-07,Mr.,3,mr.,214.45835301527316,87,73,False,True,True
a01-000x-05-01,for,3,for,212.6660011743981,65,131,False,True,True
a01-003-00-01,they,4,they,218.2341488277268,109,90,False,True,True
a01-003-00-02,may,3,may,218.84870641169854,127,56,False,True,True
a01-003-00-04,some,4,some,184.9118394308943,164,24,False,True,True
a01-003-00-08,a,1,a,161.3057644110276,42,19,False,True,True
a01-003-01-02,of,2,of,238.00942460317458,105,96,False,True,True
a01-003-01-05,are,3,are,186.6050275482094,132,22,False,True,True
a01-003-01-07,to,2,to,204.49399656946827,66,53,False,True,True
a01-003-02-02,the,3,the,211.7352989352989,111,55,False,True,True
a01-003-02-06,Mr.,3,mr.,210.2744815668203,124,56,False,True,True
a01-003-03-02,will,4,will,224.85217295873574,134,68,False,True,True
a01-003-03-03,be,2,be,212.27023809523808,84,50,False,True,True
a01-003-03-04,that,4,that,205.4730117028899,158,53,False,True,True
a01-003-03-05,as,2,as,163.76904948939512,67,19,False,True,True
a01-003-04-01,the,3,the,195.80446123403493,109,51,False,True,True
a01-003-04-04,which,5,which,226.16634316770183,224,69,False,True,True
a01-003-05-02,into,4,into,224.04974554707383,131,60,False,True,True
a01-003-05-05,they,4,they,227.55498645943717,149,114,False,True,True
a01-003-05-07,not,3,not,222.52081696779263,134,57,False,True,True
a01-003-06-00,now,3,now,189.201221703198,121,23,False,True,True
a01-003-06-05,He,2,he,208.53870858688305,102,58,False,True,True
a01-003-07-00,that,4,that,216.56431359239772,166,71,False,True,True
a01-003-07-01,the,3,the,209.64831309041838,114,65,False,True,True
a01-003-07-03,of,2,of,232.50404476950357,141,128,False,True,True
a01-003-07-06,be,2,be,200.84573863636365,64,55,False,True,True
a01-003-08-00,and,3,and,219.47852699177201,151,66,False,True,True
a01-003-08-01,that,4,that,201.8974734942477,143,62,False,True,True
a01-003-08-04,not,3,not,228.9947987336047,134,66,False,True,True
a01-003-08-06,any,3,any,216.29194915254243,120,59,False,True,True
a01-003-09-00,which,5,which,220.82382943143813,184,65,False,True,True
a01-003-09-01,would,5,would,226.91995437466448,216,69,False,True,True
a01-003-09-03,to,2,to,203.07068452380955,64,63,False,True,True
a01-003-09-06,up,2,up,131.3679487179487,52,15,False,True,True
a01-003-09-08,an,2,an,234.88133445945942,148,96,False,True,True
a01-003u-00-01,they,4,they,199.660658436214,162,75,False,True,True
a01-003u-00-02,may,3,may,205.18875532562384,212,62,False,True,True
a01-003u-00-04,some,4,some,196.83070054945054,224,39,False,True,True
a01-003u-01-02,a,1,a,158.30973986690861,57,29,False,True,True
a01-003u-01-05,of,2,of,202.67791732077447,91,84,False,True,True
a01-003u-02-01,are,3,are,194.6940518714086,137,47,False,True,True
a01-003u-02-03,to,2,to,188.88691343631595,73,47,False,True,True
a01-003u-02-06,the,3,the,204.89636095402017,166,49,False,True,True
a01-003u-03-03,Mr.,3,mr.,201.8162281305965,119,61,False,True,True
a01-003u-03-06,will,4,will,206.59526909722226,144,64,False,True,True
a01-003u-04-00,be,2,be,183.05566666666667,100,60,False,True,True
a01-003u-04-01,that,4,that,191.32444144838212,176,59,False,True,True
a01-003u-04-02,as,2,as,178.16075388026607,110,41,False,True,True
a01-003u-04-06,the,3,the,203.39522417153995,180,57,False,True,True
a01-003u-05-02,which,5,which,216.13230298913044,276,64,False,True,True
a01-003u-06-00,into,4,into,218.18546472184534,176,67,False,True,True
a01-003u-06-03,they,4,they,219.3655284008481,206,87,False,True,True
a01-003u-06-05,not,3,not,203.8188172043011,124,60,False,True,True
a01-003u-06-06,now,3,now,179.91338854382332,161,36,False,True,True
a01-003u-07-03,He,2,he,203.4493094789705,118,54,False,True,True
a01-003u-07-05,that,4,that,193.10698851059345,179,53,False,True,True
a01-003u-07-06,the,3,the,211.1362007168459,153,62,False,True,True
a01-003u-08-01,of,2,of,196.45912042502948,88,77,False,True,True
a01-003u-08-04,be,2,be,187.7590523882897,118,44,False,True,True
a01-003u-08-06,and,3,and,199.73077922077925,175,44,False,True,True
a01-003u-09-00,that,4,that,197.40929383116887,176,56,False,True,True
a01-003u-09-03,not,3,not,205.97239191729324,133,64,False,True,True
a01-003u-09-05,any,3,any,205.0996732026144,153,56,False,True,True
a01-003u-10-00,which,5,which,224.50762626262627,264,75,False,True,True
a01-003u-10-01,would,5,would,200.32093645484952,299,50,False,True,True
a01-003u-10-03,to,2,to,192.33668005354752,83,54,False,True,True
a01-003u-10-06,up,2,up,186.6221724524076,95,47,False,True,True
a01-003u-10-08,an,2,an,174.59424414927258,102,31,False,True,True
a01-003x-00-01,they,4,they,222.01325563524588,122,128,False,True,True
a01-003x-00-02,may,3,may,223.02194055944057,130,88,False,True,True
a01-003x-00-04,some,4,some,207.89638447971782,168,54,False,True,True
a01-003x-00-08,a,1,a,198.69637722829214,37,47,False,True,True
a01-003x-01-02,of,2,of,217.15260155977185,71,121,False,True,True
a01-003x-01-05,are,3,are,205.88690476190484,96,42,False,True,True
a01-003x-01-07,to,2,to,214.69052419354838,62,80,False,True,True
